window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
13793,PM2.5(t+15),6.403,27.637,10.075,3.785,0.984,-0.044,0.031,2862,5.591717958450317,1.9657821655273438
13793,PM2.5(t+20),7.11,28.372,9.815,3.942,0.981,-0.038,0.034,2886,5.591717958450317,1.9657821655273438
13793,PM2.5(t+25),8.912,29.96,10.556,4.512,0.97,-0.053,0.043,2875,5.591717958450317,1.9657821655273438
13793,PM2.5(t+30),6.745,18.318,7.632,3.444,0.983,-0.001,0.032,2899,5.591717958450317,1.9657821655273438
14854,PM2.5(t+5),9.362,6.797,3.385,4.02,0.985,-0.002,0.029,2835,5.594379901885986,1.9657821655273438
14854,PM2.5(t+10),5.381,6.376,3.053,2.557,0.995,0.001,0.017,2997,5.594379901885986,1.9657821655273438
14854,PM2.5(t+15),9.456,7.361,3.822,3.565,0.985,0.003,0.029,3057,5.594379901885986,1.9657821655273438
14854,PM2.5(t+20),6.222,5.101,2.593,2.471,0.994,-0.003,0.019,3003,5.594379901885986,1.9657821655273438
14854,PM2.5(t+25),5.298,4.927,2.417,2.194,0.995,-0.002,0.016,3059,5.594379901885986,1.9657821655273438
14854,PM2.5(t+30),4.316,5.639,2.582,2.261,0.997,-0.004,0.013,3142,5.594379901885986,1.9657821655273438
15915,PM2.5(t+5),5.479,12.611,5.209,3.068,0.983,-0.046,0.021,3443,5.668500661849976,1.9657821655273438
15915,PM2.5(t+10),12.019,16.092,6.054,4.949,0.874,-0.094,0.062,3543,5.668500661849976,1.9657821655273438
15915,PM2.5(t+15),8.058,12.896,5.177,3.704,0.913,-0.067,0.043,3680,5.668500661849976,1.9657821655273438
15915,PM2.5(t+20),4.621,8.766,4.042,2.588,0.963,-0.019,0.031,3671,5.668500661849976,1.9657821655273438
15915,PM2.5(t+25),6.722,12.52,5.389,3.419,0.923,-0.051,0.045,3698,5.668500661849976,1.9657821655273438
15915,PM2.5(t+30),7.536,13.341,5.506,3.793,0.905,-0.073,0.051,3645,5.668500661849976,1.9657821655273438
16976,PM2.5(t+5),6.005,9.583,4.065,11.472,0.57,0.102,0.02,3342,5.666903495788574,1.9657821655273438
16976,PM2.5(t+10),5.69,10.879,3.986,11.662,0.571,0.101,0.019,3596,5.666903495788574,1.9657821655273438
16976,PM2.5(t+15),3.765,6.045,2.818,10.945,0.571,0.11,0.012,3679,5.666903495788574,1.9657821655273438
