window,time_step,rmse,mape,smape,mae,r2,fb,nrmse,rules,time_cost,mem_cost
109161,use [kW](t+30),0.127,710.631,11.435,0.075,0.846,-0.099,0.042,3225,71.72841715812683,5.671283721923828
117558,use [kW](t+5),0.089,97.832,10.711,0.059,0.95,-0.038,0.025,3805,75.99745988845825,5.671283721923828
117558,use [kW](t+10),0.128,103.742,12.371,0.076,0.897,-0.069,0.036,3767,75.99745988845825,5.671283721923828
117558,use [kW](t+15),0.118,105.01,11.04,0.065,0.911,-0.034,0.035,3744,75.99745988845825,5.671283721923828
117558,use [kW](t+20),0.127,136.135,11.898,0.071,0.897,-0.046,0.037,3724,75.99745988845825,5.671283721923828
117558,use [kW](t+25),0.147,91.477,11.453,0.071,0.861,-0.037,0.043,3767,75.99745988845825,5.671283721923828
117558,use [kW](t+30),0.129,94.197,11.732,0.07,0.893,-0.047,0.038,3788,75.99745988845825,5.671283721923828
125955,use [kW](t+5),0.156,20.812,7.883,0.079,0.919,-0.042,0.03,3297,70.45006346702576,5.671283721923828
125955,use [kW](t+10),0.138,18.674,7.138,0.068,0.937,-0.016,0.027,3299,70.45006346702576,5.671283721923828
125955,use [kW](t+15),0.11,15.254,6.795,0.062,0.96,-0.008,0.022,3265,70.45006346702576,5.671283721923828
125955,use [kW](t+20),0.131,17.051,7.465,0.07,0.942,-0.015,0.026,3237,70.45006346702576,5.671283721923828
125955,use [kW](t+25),0.119,33.705,7.969,0.067,0.952,-0.024,0.023,3223,70.45006346702576,5.671283721923828
125955,use [kW](t+30),0.136,62.659,8.395,0.074,0.938,-0.038,0.027,3264,70.45006346702576,5.671283721923828
134352,use [kW](t+5),0.386,152.605,10.149,0.169,0.969,-0.031,0.032,3256,73.49406743049622,5.671283721923828
134352,use [kW](t+10),0.323,141.141,9.27,0.14,0.978,-0.02,0.027,3230,73.49406743049622,5.671283721923828
134352,use [kW](t+15),0.345,172.938,8.554,0.135,0.975,-0.007,0.029,3241,73.49406743049622,5.671283721923828
134352,use [kW](t+20),0.403,173.861,10.462,0.177,0.966,-0.032,0.034,3245,73.49406743049622,5.671283721923828
